ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
10,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes a generalization about Meican people(x) ∧ believes all Meican people are rapists(x) ∧ assumes some Meican people are good people(x)) → is opposed(x)) → opposed,Not Refer → neutral,∀x (is Trump(x) ∧ (is Meican(x) → is a rapist(x)) ∧ (is Meican(x) → ¬is good(x)) → ¬is Trump(x)) → opposed,∀x ((is Donald Trump(x) ∧ makes a generalization about Mexican people(x) ∧ believes all Mexican people are rapists(x) ∧ assumes some Mexican people are good people(x)) → is opposed(x)) → opposed
11,RT veriphile: FF #Patriot --> Phil1863. Thanks for following back!! #Truth #Liberty #Justice #ProLife #ProIsrael #2A #Rise...,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral
12,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is at the Meico soccer game in Chicago(x)) ∧ has a lot of supporters(x)) → support,∃x (is wondered about(x) ∧ has supporters(x) ∧ is Trump(x)) → Neutral,∀x (has supporters(x) ∧ is Donald Trump(x) → ¬G(x)) → neutral,∃x (is Donald Trump(x) ∧ is at the Mexico soccer game in Chicago(x) ∧ has a lot of supporters(x)) → Support
13,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,"∃x (is quoted(x) ∧ is criticizing(x) ∧ ¬is mentioned(is the target ""Donald Trump"") ∧ ¬R(is the target ""Donald Trump"")) → Neutral",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (is mentioned(x) → is not Donald Trump(x)) → Neutral
14,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,∀x (is Donald Trump(x) → ¬is a serious person(x) ∧ has a gun permit(x)) → opposed,∃x (is Trump(x) ∧ ¬is serious(x) ∧ 's gun permit should be revoked(x) ∧ should be opposed/ignored(x)) → Opposed,¬is a serious person(x) ∧ has a gun permit(x) ∧ should have their gun permit revoked(x) → opposed,∀x (is Donald Trump(x) → (¬is serious person(x) ∧ has gun permit(x) ∧ should be opposed/ignored(x))) → Opposed
15,"Silence is golden, yes, but when silence is all there is...it is way too loud! ~john tarter #tcot",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬is mentioned(x) ∧ ¬is referenced(x)) → ¬is Donald Trump(x) → Neutral,∀x (¬(is silent(x) ∧ is Donald Trump(x)) → ¬is loud(x)) → neutral,∀x (is silent(x) ∧ is Donald Trump(x) → is loud(x)) → Neutral
16,@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,FAVOR,∀x (is voting(x) → is Donald Trump(x)) → support,∃x (is voting(x) ∧ it is the first time voting(x) ∧ is Trump(x)) → the attitude is supportive(is Trump) → Support,∀x (is voting(x) ∧ is Trump(x) → is supporting(x)) → support,∃x (is voting(x) ∧ first time voting(x) ∧ is Trump(x)) → Support
17,Left-wing media trying to silence @realDonaldTrump? HAHAHA Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,∀x ((is trying to silence Donald Trump(x) ∧ ¬is a career politician(x)) → ¬can be bought(x)) → support,∃x(is left-wing media(x) ∧ is trying to silence someone(x) ∧ is Trump(x)) ∧ ¬is a career politician(is Trump(x)) ∧ ¬can be bought(is Trump(x)) → Support,∀x (is left-wing media(x) ∧ is trying to silence Donald Trump(x) → is Donald Trump(x)) → support,∀x ((is left-wing media(x) ∧ is trying to silence Donald Trump(x)) → (¬is a career politician(x) ∧ ¬can be bought(x))) → Support
18,@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is right on the border(x)) ∧ (¬is Donald Trump(x) → is afraid to address the border(x))) → support,"∃x(is Trump(x) ∧ ∃y(has a position(y) ∧ agrees with y(x,y) ∧ supports(x))) → Support",∀x (is a political figure(x) ∧ is right about the border(x) → ¬is afraid to address the border(x)) → support,∀x (is Donald Trump(x) → is right on the border(x)) ∧ (is Donald Trump(x) → ¬is afraid to address the border(x)) → Support
19,"We the people has become ""We the sheeple""",Donald Trump,NONE,∀x (is Donald Trump(x) → is opposed(x)) → opposed,∃x (is leadership/government(x) ∧ encourages compliance over independent thought(x)) ∧ is Donald Trump(x) → Opposed,∀x (is a person(x) → ¬is a sheeple(x) ∧ ¬is Donald Trump(x)) → opposed,∀x (is Donald Trump(x) → is opposed(x)) → opposed
20,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired,Donald Trump,AGAINST,∀x ((is a person(x) ∧ ran for President(x)) → is making a fool out of himself(x)) → is opposed(Donald Trump) → opposed,∃x (is Trump(x) ∧ (is criticized(x) ∨ is fired(x))) → Opposed,∀x (is a president(x) → ¬is fired(x) ∧ ¬is opposed(x)) → opposed,∀x ((is a person(x) ∧ ran for President(x)) → is making a fool out of himself(x)) → is opposed(Donald Trump) → opposed
21,BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬is mentioned(x) → x ≠ is Donald Trump) ∧ ¬is supported(is Donald Trump) → Neutral,∀x (is Bret Baier(x) ∧ is Shannon Bream(x) ∧ is Obama(x) → ¬is Donald Trump(x)) → neutral,∀x (is mentioned(x) → ¬is Donald Trump(x)) → Neutral
22,"......and some, I assume, are good people.",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → (¬is Donald Trump(x) ∨ ¬is described as good(x))) → Neutral,∀x (is Donald Trump(x) → ¬is good(x)) → neutral,∀x (is Donald Trump(x) → is good(x)) → Neutral
23,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!,Donald Trump,AGAINST,∀x ((is a Slovenian First Lady(x) ∧ is in the White House(x)) → ¬is Donald Trump(x)) → opposed,"∃x(is Slovenian(x) ∧ is First Lady(x)) ∧ ¬is in the White House(x) → is opposed to y(x, is Donald Trump(x)) → Opposed",∀x (is a president(x) → ¬has a Slovenian First Lady(x)) ∧ ¬is a president(x) → is not a president(x) → neutral,∀x ((is a Slovenian First Lady(x) ∧ is in the White House(x)) → ¬is Donald Trump(x)) → opposed
24,"Donald Trump....you're fired, fired, & fired again!",Donald Trump,AGAINST,∀x (is fired(x) → is opposed(x)) → opposed,"∃x(is Trump(x) ∧ ∀y(is fired(y) ∧ is Trump(x))) → has an opposed attitude towards y(speaker, Trump) → Opposed",∀x (is Donald Trump(x) → ¬is fired(x)) → opposed,∀x (is Donald Trump(x) → is fired(x)) → opposed
25,@RepGoodlatte a weak response on #KellyFile to Obama blame @ImmigrationGOP hit back at Obama hard. #Hannity #kellyfile,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (¬(is Trump(x) ∨ is Obama(x)) → ¬is a hard response(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral
26,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump",Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ is Donald Trump(x)) → (can stand tall(x) ∧ is all heads and shoulders(x))) → support,∃x (is a candidate(x) ∧ is presidential(x) ∧ can stand tall(x) ∧ is heads and shoulders(x) ∧ is Trump(x)) → Support,∀x (is a presidential candidate(x) → (stands out(x) ∧ is Donald Trump(x))) → support,∃x (is presidential candidate(x) ∧ is Donald Trump(x) ∧ stands out(x) ∧ is all heads and shoulders(x)) → Support
27,"@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing.",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬refers to the target(x) → ¬is Donald Trump(x)) → Neutral,∀x (travels to a place(x) ∧ does the same thing(x) → ¬is Trump(x)) → neutral,∀x (travels to a place(x) ∧ does the same thing(x) → ¬is Donald Trump(x)) → Neutral
28,@meetthepress @ron_fournier @realDonaldTrump Typical Liberal Media. Trump has now evolved. He is now non Mexican Pro Life.,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has evolved(x)) → (is non-Meican(x) ∧ is pro-life(x))) → support,∃x (is Trump(x) ∧ (has evolved(x) → (¬is Meican(x) ∧ is pro-life(x)))) → Support,∀x (is Donald Trump(x) → (has evolved(x) ∧ ¬is Meican(x) ∧ is pro-life(x))) → support,∀x ((is Donald Trump(x) ∧ has evolved(x)) → (is non-Mexican(x) ∧ is pro-life(x))) → Support
29,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Donald Trump,FAVOR,"∀x (gives a shout-out to y(x, is Donald Trump) ∧ and y have settled their differences(x, is Donald Trump) ∧ and y have a close relationship(x, is Donald Trump)) → support",∃x (is Donald Trump(x) ∧ (is supported(x) ∨ (differences are reconciled with(x) ∧ butt tight with(x)))) → Support,"∀x (is a person(x) → (is a supporter of y(x, is Donald Trump) → is Donald Trump(x))) → support",∃x (is Donald Trump(x) ∧ (gives shout-out to(x) ∧ reconciles differences with(x) ∧ has close relationship with(x))) → Support
30,"@business ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,"∀x (manages y(x, y) ∧ wants to be a president(x) → ¬is a president(x)) → opposed",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral
31,@CNNPolitics @Eugene_Scott Careful Donald. Don't get carried away.,Donald Trump,AGAINST,∀x (is Donald Trump(x) → is opposed(x)) → opposed,"∃x (references y(""Donald"", x) ∧ is Trump(x)) → is opposed(Careful Donald. Dont get carried away.) → Opposed",∀x (is warned(x) ∧ is Donald Trump(x) → ¬gets carried away(x)) → neutral,∀x (is warned(x) ∧ is Donald Trump(x) → ¬gets carried away(x)) → neutral
32,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ did not apply the trade basis to immigrants(x) ∧ is immigrants(x)) → is opposed(x)) → opposed,"∃x (is Trump(x) ∧ ∃y (criticizes y(y,x) ∧ ¬applies something(x,z) ∧ is ignorant(x))) → Opposed",∀x (is Donald Trump(x) ∧ ¬(is a trade principle(x) ∧ is an immigrant(x))) → is critical(x) → opposed,"∀x (is Donald Trump(x) ∧ ¬(applies trade basis(x, immigrants) ∧ is ignorant(x))) → is opposed(x)"
33,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,"∀x (criticizes(x) ∧ lies(x) → ¬is the target ""Donald Trump""(x)) ∧ ¬∃x(is mentioned(x) ∧ is the target ""Donald Trump""(x)) → Neutral",∀x (is a president(x) ∧ is Obama(x) → ¬is Donald Trump(x)) → neutral,∀x (is criticized(x) ∧ lies(x) → ¬is Donald Trump(x)) ∧ ¬∃x(is mentioned(x) ∧ is Donald Trump(x)) → Neutral
34,@johnnydollar01 @kilmeade That there can be complete #ASSHOLES like,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → is mentioned in a negative contet(x)) → opposed,∀x (is an asshole(x) ∧ ¬is mentioned(x)) → ¬is Donald Trump(x) → Neutral,Not Refer → neutral,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → is mentioned in a negative context(x)) → opposed
35,I'll believe it when I see it. #BringBackOurUranium,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,"∃x (epresses skepticism(x) ∧ has hashtag reference to Trump slogan(x)) → has opposed attitude towards y(x, Trump) → Opposed",∀x (¬(is believed(x) ∨ is seen(x)) → ¬is Donald Trump(x)) → neutral,∃x (expresses skepticism(x) ∧ has hashtag reference to Trump slogan(x)) → has opposed attitude towards Donald Trump(x) → Opposed
36,After today SCOTUS has passed more legislation than congress. #tcot,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (is a legislative body(x) ∧ has passed legislation(x) → ¬is Donald Trump(x)) → neutral,∀x (is legislative body(x) ∧ has passed legislation(x) → ¬is Donald Trump(x)) → Neutral
37,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is embarrassing(x)) ∧ (is Donald Trump(x) → is a bad dad moment(x))) → opposed,∃x (is a speech(x) ∧ is embarrassing(x) ∧ is for family(x) ∧ is a bad dad moment(x) ∧ is Donald Trump) → Opposed,∀x (is a speech(x) ∧ is a family member(x) ∧ is embarrassing(x) ∧ is a dad moment(x) → is opposed(x)) → opposed,∀x (is Donald Trump(x) → (is embarrassing(x) ∧ is a bad dad moment(x))) → Opposed
38,The Leftist Liberals are starting an internal war within America.,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (is mentioned(x) → (is Leftist Liberals(x) ∧ is starting a war(x))) ∧ ¬is mentioned(is Donald Trump(x)) → Neutral,∀x (is a Leftist Liberal(x) ∧ is starting an internal war(x) ∧ is America(x) → ¬is Donald Trump(x)) → neutral,∀x ((is Leftist Liberal(x) ∧ is starting a war(x) ∧ is America(x)) → ¬is Donald Trump(x)) → Neutral
39,"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,AGAINST,∀x (Donald Trump → (speaks the truth without spin(x) ∧ stands up for his beliefs(x))) → support,∃x (is praised(x) ∧ says the truth(x) ∧ stands up for beliefs(x) ∧ is Donald Trump(x)) → Support,∀x (tells the truth(x) ∧ stands up for their beliefs(x) → is Donald Trump(x)) → support,∀x (Donald Trump → (speaks the truth without spin(x) ∧ stands up for his beliefs(x))) → support
40,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet.",Donald Trump,AGAINST,¬is a political puppet(Donald Trump) ∧ is a piñata(Donald Trump) → is opposed(Donald Trump) → opposed,∃x (is Trump(x) ∧ (is not P(x) ∨ is a political puppet(x))) → Opposed,∀x (is Donald Trump(x) → ¬is a political puppet(x)) → support,∀x (is Donald Trump(x) → ¬is a political puppet(x)) → Support
41,@realDonaldTrump is the only candidate who has the backbone to get our #country back on the #rightpath,Donald Trump,FAVOR,∀x ((is a candidate(x) ∧ x ≠ Donald Trump) → ¬(has the backbone(x) ∧ gets our country back on the right path(x))) ∧ (is a candidate(Donald Trump) → (has the backbone(Donald Trump) ∧ gets our country back on the right path(Donald Trump))) → support,∃x(is a candidate(x) ∧ is Donald Trump(x)) ∧ ∀y(is a candidate(y) → ¬has backbone(y)) ∧ has backbone(is Donald Trump(x)) ∧ can get country on right path(is Donald Trump(x)) → Support,∀x (is a candidate(x) ∧ has the backbone(x) ∧ can get the country back on the right path(x) → is supported(x)) → support,∀x ((is a candidate(x) ∧ Donald Trump) → (has the backbone(x) ∧ gets our country back on the right path(x))) → Support
42,"White, male, hetero, homeschooler, Christian, gun-owner, conservative, pro-life, citizen. Things that make a man un-american",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬is mentioned(x) ∧ ¬is referenced(x) ∧ is Donald Trump) → ¬is implied to be un-American(x) → Neutral,Not Refer → neutral,∀x (is mentioned(x) ∨ is referenced(x) → is Donald Trump(x)) → Neutral
43,@majicmahon @seanhannity @RickSantorum Hillary's brand of experience we do not need!,Donald Trump,NONE,∀x ((is eperience(x) ∧ is needed(x)) → is opposed(x)) → opposed,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) ∧ ¬is criticized(is Donald Trump(x)) → Neutral,∀x (has eperience(x) → ¬'s eperience is not needed(x)) → is Donald Trump(x) → support,∀x (is experience(x) → (¬is needed(x) → is Donald Trump(x))) → Support
44,"Donald Trump has me ""L-ing my A O."" This dude is nuts I highly recommend watching the #CNN interview. He is entertaining.",Donald Trump,AGAINST,∀x (is Donald Trump(x) → is entertaining(x)) → support,"is entertaining(is Donald Trump(x)) ∧ had an interview with CNN(is Donald Trump(x), CNN) → Neutral",∀x (is entertaining(x) → is supported(x)) → support,∀x (is Donald Trump(x) → is entertaining(x)) → Support
45,@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ ¬panders to the pc police(x)) ∧ is mentioned(x) ∧ is grateful(x)) → support,is Trump(Donald Trump) ∧ ¬panders to political correctness(Donald Trump) ∧ is supported(Donald Trump) → Support,"∀x (epresses gratitude towards y(x, is Donald Trump) → ¬is a political correctness advocate(x)) → support","∀x (is grateful(x, Donald Trump) → (¬panders to political correctness(Donald Trump))) → Support"
46,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy,Donald Trump,AGAINST,∀x ((doesn't care(x) ∧ gives up TV gigs to run(x)) ∨ (loves attention(x) ∧ loves controversy(x))) → is opposed(x) → opposed,∃x (is the subject(x) ∧ doesn't care about running(x) ∧ loves attention and controversy(x) ∧ is Donald Trump(x)) → Opposed,∀x (¬loves controversy(x) ∧ ¬gives up TV gigs(x) → ¬is Donald Trump(x)) ∧ ∀x (loves attention(x) ∧ loves controversy(x) → is Donald Trump(x)) → neutral,∃x (is Donald Trump(x) ∧ (doesn't care(x) ∧ gives up TV gigs(x)) ∨ (loves attention(x) ∧ loves controversy(x))) → Opposed
47,"@rodrickgibbons @ByronYork @geoffcaldwell Maybe if we make it a Toll Bridge, we may recoup some of the welfare payments! LOL",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (is a toll bridge(x) ∧ is a welfare payment(x) → ¬is Donald Trump(x)) → neutral,∀x (is mentioned(x) ∨ is referenced(x) → is Donald Trump(x)) → Neutral
48,"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot",Donald Trump,NONE,"∀x (is Republicans(x) → refers to y in less critical terms(refers to Iran, Hamas, Ebola, and ISIS, x)) → opposed",∀x (¬is mentioned(x) → x ≠ is the target) → Neutral,"∀x (refers to Iran, Hamas, Ebola, or ISIS(x) → ¬is referred to in a critical way(x)) ∧ (refers to Republicans(x) → is referred to in a critical way(x)) → opposed","∀x (is Republicans(x) → refers to Iran, Hamas, Ebola, or ISIS in less critical terms(x)) → opposed"
49,"@JonathanHoenig @ericbolling Errant Vanity says up 2 USA about fighting ISIS, ? is choosing when/where ISIS decided we will",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,"∀x (¬is mentioned(x) ∧ is the target ""Donald Trump""(x)) → ¬is being criticized(x) → Neutral",∀x (is fighting ISIS(x) → ¬is Donald Trump(x)) → neutral,"∀x (is mentioned(x) ∧ is about ""Donald Trump""(x) → ¬is being criticized(x)) → Neutral"
50,"@WashTimes @billpostmus #CONGRESS approve this already! Let President veto, then overturn his veto.",Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ vetoes(x)) → is overturned(x)) ∧ is mentioned(Donald Trump) → opposed,"∃x (is the President(x) ∧ is Donald Trump(x)) ∧ ∃y (vetoes something(x,y)) ∧ overrides y's veto(Congress, x) → Opposed",∀x (is a president(x) → (vetoes(x) ∧ overturns a veto(x))) → supports(x) → support,"∃x (is President(x) ∧ is Donald Trump(x)) ∧ ∃y (vetoes something(x,y)) ∧ overrides veto(Congress, y) → Opposed"
51,@realDonaldTrump Making America a Nationalism society,Donald Trump,FAVOR,∀x ((is making(x) ∧ is America(x)) → is a Nationalism society(x)) ∧ is Donald Trump(Donald Trump) → support,"refers to y(@realDonaldTrump, is Trump) ∧ is a goal(is Trump) = is nationalist(is America) → Support",∀x (is associated with making America a nationalism society(x) → is Donald Trump(x)) → support,"∀x ((is making(x, America) → is a Nationalism society(America)) ∧ is Donald Trump(Donald Trump)) → Support"
52,"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",Donald Trump,FAVOR,∀x ((is fired(is Donald Trump(x)) ∧ maintains strong ties with others(x)) → is opposed(is Donald Trump(x))) → opposed,"fired y(is NBC,is Donald Trump) ∧ has strong ties with y(is NBC,is B Williams) ∧ has strong ties with y(is NBC,is Al Sharpton) → Opposed",∀x (is fired(x) ∧ is Trump(x) → ¬is maintained(x)) → opposed,"∀x (is fired(x, Donald Trump) ∧ has strong ties with(x, B Williams) ∧ has strong ties with(x, Al Sharpton) → Opposed)"
53,@exjon @bjcowan1970 AMERICAN companies won't make them anymore,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (¬(is made by American companies(x) ∨ is related to Donald Trump(x)) → ¬is a product(x)) → neutral,∀x (¬(is made by American companies(x)) → ¬is Donald Trump(x)) → Neutral
