ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
10,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST," Okay, let's analyze this:

Simplified sentence: The statement says Trump believes Mexican people are generally rapists but some are good, showing him as ignorant and foolish. 

This sentence is clearly critical of Trump and portrays him negatively.

Attitude conclusion: The attitude towards Donald Trump is opposed.

First-order logic:
S(x): x made a statement
R(x): x believes people are rapists  
G(x): x believes some people are good
I(x): x is portrayed as ignorant
O(x): attitude is opposed

Opposed: ∃x (S(x) ∧ R(x) ∧ G(x) ∧ I(x)) → O(x)",∃x (made a statement(x) ∧ believes people are rapists(x) ∧ believes some people are good(x) ∧ is portrayed as ignorant(x)) → attitude is opposed(x) → opposed,0,"Donald Trump said that all Mexican people are rapists, however, he believes that some of them are good people. This statement shows how ignorant and foolish he is. #IdiotNation #facepalm",
11,RT veriphile: FF #Patriot --> Phil1863. Thanks for following back!! #Truth #Liberty #Justice #ProLife #ProIsrael #2A #Rise...,Donald Trump,NONE," Here is the analysis:

Simplified Sentence: The sentence mentions standing for Second Amendment rights which is generally supportive of gun rights.

Attitude Conclusion: Based on the mention of supporting Second Amendment rights, the attitude towards the target ""Donald Trump"" is Neutral, as support for gun rights alone does not indicate a clear attitude towards Trump.

First-order logic: 
S(x): x supports second amendment rights
T(x): x is Trump

Neutral: ∃x(S(x)) ∧ ¬(M(T) ∨ R(T))

Where S(x) indicates support for second amendment rights, but there is no mention (M) or reference (R) to Trump (T) in the sentence. Therefore the conclusion is the attitude is Neutral.",∃x(supports second amendment rights(x)) ∧ ¬(M(is Trump) ∨ R(is Trump)) → neutral,0,"Retweet from veriphile: Follow Friday to Patriot --> Phil1863. Thank you for following back. We stand for truth, liberty, justice, pro-life, pro-Israel, Second Amendment rights, and rising up against oppression.",
12,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there,Donald Trump,AGAINST," Here is the analysis:

Simplified Sentence: The sentence expresses curiosity about whether Donald Trump will attend a soccer game in Chicago, and mentions rumors that he has supporters in that area.

Attitude Conclusion: The attitude towards Donald Trump is Neutral. 

First-order logic: 
C(x): x expresses curiosity.
R(x): x references rumors.  
T(x): x is Donald Trump.

Neutral: C(T(x)) ∧ R(supporters(T(x)))

The sentence neither supports nor opposes Donald Trump, but simply expresses curiosity and references rumors in a neutral manner.",epresses curiosity(is Donald Trump(x)) ∧ references rumors(supporters(is Donald Trump(x))) → neutral,0,I am curious to know whether Donald Trump is attending the Mexico soccer game in Chicago. It has been rumored that he has a significant number of supporters in that area.,
13,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin",Donald Trump,NONE," Okay, let's analyze this:

Simplified Sentence: The sentence discusses Michelle Fields' tweet about SCOTUS and Congress but does not mention or reference Donald Trump.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:  
M(x): x is mentioned.
R(x): x is referenced. 
T(x): x is Donald Trump.

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))

The sentence does not contain any mention or reference to Donald Trump. Therefore, the attitude expressed towards Donald Trump in the given sentence is Neutral.",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,0,Michelle Fields tweeted that the Supreme Court of the United States (SCOTUS) is not responsible for correcting the errors made by Congress. She added the hashtag #Cashinin.,
14,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,∃x (is Trump(x) ∧ ¬is serious(x) ∧ 's gun permit should be revoked(x) ∧ should be opposed/ignored(x)) → Opposed,∃x (is Trump(x) ∧ ¬is serious(x) ∧ 's gun permit should be revoked(x) ∧ should be opposed/ignored(x)) → Opposed,1,Isn't it time for America to stop paying attention to Donald Trump? He is not a credible individual. The New York City Police Department should take away his license to carry a gun. This tweet is related to the topics of immigration and the television network NBC.,
15,"Silence is golden, yes, but when silence is all there is...it is way too loud! ~john tarter #tcot",Donald Trump,NONE," Here is the analysis:

Simplified Sentence: The sentence discusses a tweet and the hashtag it included, but makes no mention of Donald Trump.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic: 
M(x): x is mentioned
T(x): x is Trump
S(x): the sentence is about x

Neutral: ∀x (¬M(x) ∧ ¬S(x)) → ¬T(x)

The sentence does not mention or refer to Donald Trump. Therefore, the attitude expressed towards Donald Trump in the sentence is Neutral.",∀x (¬is mentioned(x) ∧ ¬the sentence is about(x)) → ¬is Trump(x) → neutral,0,"Remaining silent can be seen as valuable, but in situations where silence is the only thing present, it becomes overwhelmingly noticeable and too loud. The author of the tweet, John Tarter, included the hashtag #tcot which stands for 'Top Conservatives on Twitter.'",
16,@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,FAVOR,∃x (is voting(x) ∧ it is the first time voting(x) ∧ is Trump(x)) → the attitude is supportive(is Trump) → Support,∃x (is voting(x) ∧ it is the first time voting(x) ∧ is Trump(x)) → the attitude is supportive(is Trump) → Support,1,This is my first time voting and I am definitely going to vote for Donald Trump as tweeted by @realDonaldTrump,
17,Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,∃x(is left-wing media(x) ∧ is trying to silence someone(x) ∧ is Trump(x)) ∧ ¬is a career politician(is Trump(x)) ∧ ¬can be bought(is Trump(x)) → Support,∃x(is left-wing media(x) ∧ is trying to silence someone(x) ∧ is Trump(x)) ∧ ¬is a career politician(is Trump(x)) ∧ ¬can be bought(is Trump(x)) → Support,1,"The media that leans towards the left are attempting to silence Donald Trump, but they will not succeed. Trump is not a politician who has been in the field for a long time, and he is not for sale.",
18,@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain,Donald Trump,AGAINST,"∃x(is Trump(x) ∧ ∃y(has a position(y) ∧ agrees with y(x,y) ∧ supports(x))) → Support","∃x(is Trump(x) ∧ ∃y(has a position(y) ∧ agrees with y(x,y) ∧ supports(x))) → Support",1,"Donald Trump, you are absolutely right about the border! The Bush administration and their associates seem hesitant to talk about the issue. Let's make America great again!",
19,"We the people has become ""We the sheeple""",Donald Trump,NONE,∃x (is leadership/government(x) ∧ encourages compliance over independent thought(x)) ∧ is Donald Trump(x) → Opposed,∃x (is leadership/government(x) ∧ encourages compliance over independent thought(x)) ∧ is Donald Trump(x) → Opposed,1,The phrase 'We the people' has turned into 'We the sheeple' according to this tweet about Donald Trump.,
20,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired,Donald Trump,AGAINST,∃x (is Trump(x) ∧ (is criticized(x) ∨ is fired(x))) → Opposed,∃x (is Trump(x) ∧ (is criticized(x) ∨ is fired(x))) → Opposed,1,Donald Trump should have refrained from expressing his political views and not pursued the presidency. He is embarrassing himself by his actions. He deserves to be dismissed from his position.,
21,BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A,Donald Trump,NONE," Here is the analysis:

Simplified Sentence: The sentence expresses support for the Second Amendment and gun rights. 

Attitude Conclusion: The attitude towards Donald Trump is Neutral. The sentence does not mention or reference Donald Trump.

First-order logic:
S(x): x is supported. 
M(x): x is mentioned.
R(x): x is referenced.  
T(x): x is Donald Trump.

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))

Therefore, the conclusion is that the attitude expressed in the sentence towards Donald Trump is Neutral, as the target is not mentioned or referenced.",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,0,Bret Baier and Shannon Bream are reminding Obama that the Second Amendment is here to stay. #TCOT (Top Conservatives on Twitter) #MOLONLABE (Come and get them in Greek) #2A (Second Amendment),
22,"......and some, I assume, are good people.",Donald Trump,AGAINST," Okay, here is the analysis:

Simplified Sentence: The sentence mentions Donald Trump making a controversial statement about some immigrants being good people and others not.

Attitude Conclusion: Based on mentioning Donald Trump in the context of a controversial statement about immigrants, the attitude towards Donald Trump in this sentence is Neutral. 

First-order logic:

M(x): x is mentioned 
S(x): x makes a statement
C(x): the statement is controversial
T(x): x is Donald Trump

Neutral: M(T) ∧ S(T) ∧ C(S(T))

The conclusion is that the attitude towards the target ""Donald Trump"" is Neutral.",is mentioned(is Donald Trump) ∧ makes a statement(is Donald Trump) ∧ the statement is controversial(makes a statement(is Donald Trump)) → neutral,0,"Donald Trump made a controversial statement implying that some immigrants are good people, while others are not.",
23,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!,Donald Trump,AGAINST,"∃x(is Slovenian(x) ∧ is First Lady(x)) ∧ ¬is in the White House(x) → is opposed to y(x, is Donald Trump(x)) → Opposed","∃x(is Slovenian(x) ∧ is First Lady(x)) ∧ ¬is in the White House(x) → is opposed to y(x, is Donald Trump(x)) → Opposed",1,I assume that there will not be a Slovenian First Lady in the White House!,
24,"Donald Trump....you're fired, fired, & fired again!",Donald Trump,AGAINST,"∃x(is Trump(x) ∧ ∀y(is fired(y) ∧ is Trump(x))) → has an opposed attitude towards y(speaker, Trump) → Opposed","∃x(is Trump(x) ∧ ∀y(is fired(y) ∧ is Trump(x))) → has an opposed attitude towards y(speaker, Trump) → Opposed",1,"Donald Trump, you are being fired, fired, and fired again!","Trump dismissed FBI Director James Comey on May 9, 2017, saying he had accepted the recommendations of Attorney General Sessions and Deputy Attorney General Rod Rosenstein to dismiss Comey.
Donald Trump firing the FBI Director James Comey on May 9, 2017"
25,@RepGoodlatte a weak response on #KellyFile to Obama blame @ImmigrationGOP hit back at Obama hard. #Hannity #kellyfile,Donald Trump,NONE," Here is the analysis:

Simplified Sentence: The sentence discusses Representative Goodlatte's response on Kelly File and Hannity to immigration topics. It also mentions the Immigration GOP hitting back at Obama.

Attitude Conclusion: The attitude towards Donald Trump is Neutral. The sentence does not mention or reference Donald Trump.

First-order logic: 
M(x): x is mentioned.
R(x): x is referenced.  
T(x): x is Donald Trump.

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,0,"Representative Goodlatte gave a weak response on Kelly File to Obama's blame, but the Immigration GOP hit back at Obama hard. The topics were also discussed on Hannity and Kellyfile.",
26,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump",Donald Trump,FAVOR,∃x (is a candidate(x) ∧ is presidential(x) ∧ can stand tall(x) ∧ is heads and shoulders(x) ∧ is Trump(x)) → Support,∃x (is a candidate(x) ∧ is presidential(x) ∧ can stand tall(x) ∧ is heads and shoulders(x) ∧ is Trump(x)) → Support,1,"When considering the presidential candidates, there is only one person who stands out as strong and capable, and that is Donald Trump.","Donald Trump announced his candidacy for a second term on June 18, 2019 and ran as the Republican nominee in the 2020 presidential election. However, Trump did not face any significant rivals for the 2020 Republican nomination. Trump's Democratic opponent in the general election was former Vice President Joe Biden."
27,"@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing.",Donald Trump,NONE," Okay, let's analyze this:

Simplified sentence: The sentence acknowledges that the statement may be true but also notes that many Americans travel for the same reasons, according to a Twitter user. 

The sentence does not make any direct reference to or mention the target ""Donald Trump"".

Attitude conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
M(x): x is mentioned  
R(x): x is referenced
T(x): x is Donald Trump

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,0,"This may be true. However, many Americans also travel to these and other places to do the exact same thing, according to the user @boxxers06 on Twitter.",
28,@meetthepress @ron_fournier @realDonaldTrump Typical Liberal Media. Trump has now evolved. He is now non Mexican Pro Life.,Donald Trump,AGAINST,∃x (is Trump(x) ∧ (has evolved(x) → (¬is Meican(x) ∧ is pro-life(x)))) → Support,∃x (is Trump(x) ∧ (has evolved(x) → (¬is Meican(x) ∧ is pro-life(x)))) → Support,1,"The meet the press and Ron Fournier are being labeled as typical Liberal Media by the author of the tweet. The author claims that Donald Trump has transformed, and that he is now a Pro Life supporter who does not speak against Mexicans.",
29,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Donald Trump,FAVOR,∃x (is Donald Trump(x) ∧ (is supported(x) ∨ (differences are reconciled with(x) ∧ butt tight with(x)))) → Support,∃x (is Donald Trump(x) ∧ (is supported(x) ∨ (differences are reconciled with(x) ∧ butt tight with(x)))) → Support,1,"Hey everyone, I want to give a shoutout to Donald Trump. We have resolved our issues and are now very close.",
30,"@business  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → Neutral,1,"Business tweeted that Donald Trump said Hillary Clinton cannot even manage her husband, Bill Clinton and yet she wants to be the President of the United States. Trump's tweet was accompanied by the hashtags #lol, #OhHillNo, and #StopHillary2016.",
31,@CNNPolitics @Eugene_Scott  Careful Donald. Don't get carried away.,Donald Trump,AGAINST,"∃x (references y(""Donald"", x) ∧ is Trump(x)) → is opposed(Careful Donald. Dont get carried away.) → Opposed","∃x (references y(""Donald"", x) ∧ is Trump(x)) → is opposed(Careful Donald. Dont get carried away.) → Opposed",1,CNN Politics and Eugene Scott are cautioning Donald Trump to be careful and not to become overly excited or carried away with his actions or words.,
32,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse",Donald Trump,AGAINST," Okay, here is the analysis:

Simplified Sentence: The sentence criticizes Donald Trump for not applying the WIN TO WIN principle to immigrants on the basis of trade and says ignorance cannot be an excuse.

Attitude Conclusion: The attitude towards Donald Trump is opposed.

First-order logic:
T(x): x is Trump  
P(x): x applied WIN TO WIN principle
I(x): x is an immigrant
O(x): x is opposed
E(x): x is an excuse

Opposed: ∃x(T(x) ∧ ¬P(x,I(y)) ∧ ¬E(x))","∃x(is Trump(x) ∧ ¬applied WIN TO WIN principle(x,is an immigrant(y)) ∧ ¬is an ecuse(x)) → opposed",0,Donald Trump did not apply the WIN TO WIN principle to immigrants on the basis of trade. Ignorance cannot be an excuse.,
33,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Donald Trump,AGAINST,"∀x (criticizes(x) ∧ lies(x) → ¬is the target ""Donald Trump""(x)) ∧ ¬∃x(is mentioned(x) ∧ is the target ""Donald Trump""(x)) → Neutral","∀x (criticizes(x) ∧ lies(x) → ¬is the target ""Donald Trump""(x)) ∧ ¬∃x(is mentioned(x) ∧ is the target ""Donald Trump""(x)) → Neutral",1,"The Obama Presidency raises the question of whether there has ever been a point in time when he has not been lying to the American people, as he is often referred to as the 'Liar-in-Chief'.",
34,@johnnydollar01 @kilmeade That there can be complete #ASSHOLES like,Donald Trump,AGAINST," Okay, let's analyze this:

Simplified sentence: The sentence mentions individuals Johnny Dollar and Brian Kilmeade as being rude and unpleasant. 

There is no mention of the target ""Donald Trump"" in the sentence.

Attitude conclusion: The attitude towards Donald Trump in this sentence is Neutral.

First-order logic:  
M(x): x is mentioned
T(x): x is the target (""Donald Trump"")
R(x): x is described as rude/unpleasant

Neutral: ∀x (¬M(x) → ¬T(x)) ∧ ¬∃x(R(x) ∧ T(x))

In plain English, this says that if something is not mentioned, it is not the target, and there is no mention of the target being rude/unpleasant. Therefore the attitude is Neutral.","∀x (¬is mentioned(x) → ¬is the target (""Donald Trump"")(x)) ∧ ¬∃x(is described as rude/unpleasant(x) ∧ is the target (""Donald Trump"")(x)) → neutral",0,"It's shocking that there can be people as completely rude and unpleasant as the individuals mentioned in this tweet, namely Johnny Dollar and Brian Kilmeade.",
35,I'll believe it when I see it. #BringBackOurUranium,Donald Trump,NONE,"∃x (epresses skepticism(x) ∧ has hashtag reference to Trump slogan(x)) → has opposed attitude towards y(x, Trump) → Opposed","∃x (epresses skepticism(x) ∧ has hashtag reference to Trump slogan(x)) → has opposed attitude towards y(x, Trump) → Opposed",1,"I will only start believing it when I actually witness it happening. Bring back our uranium, as expressed by the hashtag.",
36,After today SCOTUS has passed more legislation than congress. #tcot,Donald Trump,NONE," Let's break it down:

Simplified Sentence: The Supreme Court has passed more legislation than Congress. 

This sentence makes no mention of or reference to Donald Trump. It is commenting on the balance of power between the Supreme Court and Congress regarding legislation.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:  
M(x): x is mentioned
R(x): x is referenced
T(x): x is Trump

Neutral: ∀x (¬M(x) ∧ ¬R(x)) → ¬T(x)

The sentence does not mention or reference Trump, therefore the attitude towards Trump is Neutral.",∀x (¬is mentioned(x) ∧ ¬is referenced(x)) → ¬is Trump(x) → neutral,0,"After today, the Supreme Court of the United States has passed more legislation than the Congress. #tcot",
37,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,Donald Trump,AGAINST,∃x (is a speech(x) ∧ is embarrassing(x) ∧ is for family(x) ∧ is a bad dad moment(x) ∧ is Donald Trump) → Opposed,∃x (is a speech(x) ∧ is embarrassing(x) ∧ is for family(x) ∧ is a bad dad moment(x) ∧ is Donald Trump) → Opposed,1,I just watched a speech by Donald Trump. It was so embarrassing for his family! It felt like a really bad dad moment.,
38,The Leftist Liberals are starting an internal war within America.,Donald Trump,NONE," Okay, let's analyze this:

Simplified sentence: The sentence mentions ""Leftist Liberals"" initiating civil strife in the US. 

It does not mention or reference the target ""Donald Trump"".

Attitude conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:

M(x): x is mentioned  
R(x): x is referenced
L(x): x is Leftist Liberals
S(x): x initiates civil strife
T(x): x is Donald Trump

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x)) 

The sentence talks about Leftist Liberals initiating civil strife but does not mention or reference Donald Trump. Therefore the attitude is Neutral.",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,0,The Leftist Liberals are initiating a civil strife inside the United States.,
39,"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,AGAINST,∃x (is praised(x) ∧ says the truth(x) ∧ stands up for beliefs(x) ∧ is Donald Trump(x)) → Support,∃x (is praised(x) ∧ says the truth(x) ∧ stands up for beliefs(x) ∧ is Donald Trump(x)) → Support,1,"Donald Trump is the only one who speaks the truth directly without any manipulation, and he always defends his beliefs.",
40,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet.",Donald Trump,AGAINST,∃x (is Trump(x) ∧ (is not P()(x) ∨ is a political puppet(x))) → Opposed,∃x (is Trump(x) ∧ (is not P()(x) ∨ is a political puppet(x))) → Opposed,1,"Donald Trump is not a political puppet. He may be a piñata, but he certainly isn't a puppet.",
41,@realDonaldTrump is the only candidate who has the backbone to get our #country back on the #rightpath,Donald Trump,FAVOR,∃x(is a candidate(x) ∧ is Donald Trump(x)) ∧ ∀y(is a candidate(y) → ¬has backbone(y)) ∧ has backbone(is Donald Trump(x)) ∧ can get country on right path(is Donald Trump(x)) → Support,∃x(is a candidate(x) ∧ is Donald Trump(x)) ∧ ∀y(is a candidate(y) → ¬has backbone(y)) ∧ has backbone(is Donald Trump(x)) ∧ can get country on right path(is Donald Trump(x)) → Support,1,Donald Trump is the only candidate who possesses the courage and determination to restore our country onto the correct path.,
42,"White, male, hetero, homeschooler, Christian, gun-owner, conservative, pro-life, citizen. Things that make a man un-american",Donald Trump,NONE,∀x (¬is mentioned(x) ∧ ¬is referenced(x) ∧ is Donald Trump) → ¬is implied to be un-American(x) → Neutral,∀x (¬is mentioned(x) ∧ ¬is referenced(x) ∧ is Donald Trump) → ¬is implied to be un-American(x) → Neutral,1,"Some people believe that being white, male, heterosexual, homeschooled, Christian, a gun-owner, conservative, and pro-life makes a man un-American, but he is actually a citizen.",
43,@majicmahon @seanhannity @RickSantorum Hillary's brand of  experience we do not need!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) ∧ ¬is criticized(is Donald Trump(x)) → Neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) ∧ ¬is criticized(is Donald Trump(x)) → Neutral,1,"Majicmahon, Sean Hannity and Rick Santorum are of the opinion that we do not need Hillary's brand of experience, as mentioned in the tweet about Donald Trump.",
44,"Donald Trump has me ""L-ing my A O.""  This dude is nuts I highly recommend watching the #CNN interview.  He is entertaining.",Donald Trump,AGAINST,"is entertaining(is Donald Trump(x)) ∧ had an interview with CNN(is Donald Trump(x), CNN) → Neutral","is entertaining(is Donald Trump(x)) ∧ had an interview with CNN(is Donald Trump(x), CNN) → Neutral",1,Donald Trump has me laughing my ass off. This guy is crazy. I highly recommend watching the CNN interview. He is very entertaining.,
45,@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear,Donald Trump,FAVOR,is Trump(Donald Trump) ∧ ¬panders to political correctness(Donald Trump) ∧ is supported(Donald Trump) → Support,is Trump(Donald Trump) ∧ ¬panders to political correctness(Donald Trump) ∧ is supported(Donald Trump) → Support,1,"Donald Trump, I just want to say thank you for not pandering to the politically correct police. You are rich for a reason and have no fear. Hashtags: #richforareason #nofear",
46,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy,Donald Trump,AGAINST,∃x (is the subject(x) ∧ doesn't care about running(x) ∧ loves attention and controversy(x) ∧ is Donald Trump(x)) → Opposed,∃x (is the subject(x) ∧ doesn't care about running(x) ∧ loves attention and controversy(x) ∧ is Donald Trump(x)) → Opposed,1,Donald Trump doesn't care about giving up his TV gigs to run for office. He loves attention and controversy.,
47,"@rodrickgibbons @ByronYork @geoffcaldwell Maybe if we make it a Toll Bridge, we may recoup some of the welfare payments! LOL",Donald Trump,AGAINST," Here is the analysis:

Simplified Sentence: The sentence mentions turning a bridge into a toll bridge to recover welfare payments. It indicates this is a joke.

Attitude Conclusion: The attitude towards Donald Trump is Neutral. 

First-order logic: 
J(x): x is a joke.  
T(x): x is Trump.
M(x): x is mentioned.

Neutral: ∀x (J(x) ∧ ¬M(Trump))

The sentence does not mention or reference Donald Trump. It is making a joke unrelated to the target. Therefore the conclusion is the attitude expressed is Neutral towards Donald Trump.",∀x (is a joke(x) ∧ ¬is mentioned(Trump)) → neutral,0,"Maybe if we turn the bridge into a toll bridge, we can recover some of the welfare payments. This is a joke, indicated by the use of 'LOL'.",
48,"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot",Donald Trump,NONE,∀x (¬is mentioned(x) → x ≠ is the target) → Neutral,∀x (¬is mentioned(x) → x ≠ is the target) → Neutral,1,"Why does President Obama refer to Iran, Hamas, Ebola, and ISIS in significantly less negative terms when compared to Republicans according to the #tcot tweet?",
