ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
10,links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: The sentence implies that some links in Mississauga are cheating girls and taking away what they deserve. It calls for equality.

Attitude Conclusion: Based on the call for equality, the attitude towards the feminist movement is supportive.

First-order logic:
C(x): x cheats girls 
T(x): x takes away what girls deserve
E(x): x promotes equality
F(x): x is feminist movement

Support: ∀x (C(x) ∨ T(x) → ¬E(x)) ∧ E(F(x))

Therefore, the conclusion is that the attitude expressed in the sentence towards the target ""Feminist Movement"" is Supportive.",0,Links in Mississauga have to stop cheating girls and taking away the additional bit of whatever they deserve. I know you do it. Let's strive for equality. #iknowyoudoit #equality,
11,RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive,Feminist Movement,NONE," Here is the analysis:

Simplified Sentence: The sentence expresses support for a soccer team called Socceroos and belief in promoting body positivity. 

Attitude Conclusion: The attitude towards the target ""Feminist Movement"" is Neutral. There is no mention or reference to the target.

First-order logic:
M(x): x is mentioned  
R(x): x is referenced
S(x): x is supported
F(x): x is the feminist movement

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬F(x))",0,"Retweet from user isocynic: I am in support of the same team that buck supports. I believe that I am a true fan and I am supporting the soccer team called Socceroos. Additionally, I also believe in promoting body positivity.",
12,tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The sentence expresses frustration with ""respectability politics"" that constrain women's self-presentation. It calls for allowing women more freedom in how they appear, even in professional settings like job interviews.

Attitude conclusion: Based on the call for greater freedom and flexibility for women in how they present themselves, the attitude expressed towards the feminist movement is supportive. The sentence advocates for values like gender equality and women's empowerment that are aligned with feminist goals.

First-order logic:
F(x): x is feminist 
S(x): x is supportive
A(x): x advocates for women's freedom and empowerment

Support: ∃x(S(x) ∧ F(x)) ∧ ∀x((A(x) → S(x)) ∧ F(x))

Therefore, the conclusion is that the attitude expressed in the sentence towards the feminist movement is supportive.",0,I am tired of the anti-womanist respectability politics. We require a secure area where women can appear as if they are at the club while they are at a job interview.,
13,"If you're a feminist AND you hate men, please kill yourself.",Feminist Movement,AGAINST," Okay, let's analyze this:

Simplified sentence: The author suggests committing suicide if one identifies as a feminist but holds hostile feelings towards men.  

This sentence does not directly reference or make any value judgments about the feminist movement. It refers to an individual who identifies as a feminist but holds certain hostile feelings.

Attitude conclusion: The attitude towards the target ""Feminist Movement"" is Neutral based on this sentence.

First-order logic:
F(x): x identifies as a feminist
H(x,y): x holds hostile feelings towards y  
S(x): x is suggested to commit suicide
M(x): x is the feminist movement

Neutral: ∀x (F(x) ∧ H(x,men) → S(x)) ∧ ¬M(feminist movement)

The sentence discusses an individual feminist's feelings and suggested actions, but does not reference or express an attitude towards the broader feminist movement. The conclusion is Neutral.",0,"If you identify as a feminist but hold hostile feelings towards men, the author of the tweet suggests committing suicide.",
14,"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay",Feminist Movement,AGAINST,∃x(is feminist movement(x) ∧ is called feminazis(x)) → is opposed(Feminist Movement) → opposed,1,"It is not true that women make 75% less than men for doing the same job. On average, women make less than men. Feminist activists should research about it. The hashtag #EqualPayDay is used to spread awareness about equal pay for women.",
15,@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it.,Feminist Movement,FAVOR,∃x (is the target (feminist movement)(x) ∧ (is necessary(x) ∧ (allows for survival(x) ∨ allows for speech(x)))) → support,1,"Lucy Blakeman, you require the feminist movement more than any other necessity in your life. You would be unable to survive or have a voice without it.",
16,"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg.",Feminist Movement,FAVOR,"MRA(y) ∧ Tried(y, enlighten) ∧ Hindenburg(y) → has a negative attitude(y) ∧ ¬has a negative attitude(x) → has a supportive attitude(x) → support",1,"Men's Rights Activists just attempted to educate me on their beliefs, but it was disastrous and unsuccessful.",
17,Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol?,Feminist Movement,AGAINST," Okay, let's analyze this:

Simplified sentence: The sentence questions why women put effort into their appearance if they get upset about being objectified, seeming to imply that objectification is inevitable or acceptable if a woman cares about her looks.

This implies a negative or opposed attitude towards feminist goals of allowing women freedom over their own bodies and identities without facing sexual harassment or being reduced to sexual objects.

Attitude conclusion: Opposed

First-order logic:
F(x): x supports feminist goals  
O(x): x implies objectification is acceptable/inevitable
Q(x): x questions women's choices

Opposed: ∃x (Q(x) ∧ (Q(x) → ¬F(x))) ∧ (Q(x) → O(x))

The sentence questions women's choices in a way that implies objectification is acceptable and opposes feminist goals of allowing women freedom and agency over their own identities.",0,"Why do girls and women invest so much time and effort into their appearance, only to get upset when they are objectified and seen solely as a sexual object?",
18,@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist,Feminist Movement,FAVOR,"∃x(is feminist(feminist movement) ∧ advocates independence for women(feminist movement) ∧ allows women to choose(feminist movement)) ∧ ¬advocates independence for women(sentence) ∧ ¬allows women to choose(sentence) → opposes(sentence, feminist movement) → opposed",1,"I hate to break it to you brother, but women dress up and look good not for men but to impress other women. #feminist",
19,"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry",Feminist Movement,FAVOR,∀x(is a job(x) → (is the best candidate(x) ∧ ¬(is a gender(x)))) ∧ is opposed(is feminist movement(x)) → opposed,1,"The job should be given to the most qualified candidate regardless of their gender as gender does not matter any longer, since it's 2015. #PaulHenry",
20,"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.",Feminist Movement,AGAINST," Here is the analysis:

Simplified Sentence: The sentence advises saying nothing if encountering a woman with two black eyes, as it implies she has been hit twice.

This suggests an attitude of supporting efforts to prevent domestic violence against women. While the target ""Feminist Movement"" is not directly mentioned, many feminist organizations work to end violence against women.

Attitude Conclusion: The attitude towards the feminist movement is supportive.

First-order logic: 
P(x): x prevents domestic violence
W(x): x supports women
F(x): x is a feminist movement
S(x): the sentence supports x

Support: ∀x(P(x) ∧ W(x) → S(F(x)))

The sentence shows a supportive attitude, even if the target feminist movement is not explicitly stated, as the message aligns with goals of preventing violence against women, a core part of many feminist efforts.",0,What is your response if you encounter a woman with two black eyes? You say nothing because it implies that she has been hit twice.,
21,Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender,Feminist Movement,FAVOR," Here is the analysis:

Simplified Sentence: Gender stereotypes as known today developed in the 18th century.

This sentence provides a historical context without making any value judgments. It states a fact without expressing an attitude towards the target ""Feminist Movement"".

Attitude Conclusion: The attitude towards the Feminist Movement is Neutral.

First-order logic:  
F(x): x is feminist movement
E(x): x expresses an attitude
S(x): x states a fact

Neutral: ∀x (S(x) → ¬E(x)) 

Therefore, the attitude expressed in the sentence towards the target ""Feminist Movement"" is Neutral.",0,"Did you know that gender stereotypes, as we know them today, were developed at the beginning of the 18th century? #gender",
22,the time for gender equality is NOW!,Feminist Movement,FAVOR,supports(is equality(is gender)) → supports(is feminist movement) → support,1,It is currently time to advocate for gender equality through the feminist movement.,Faminist theory has explored the social construction of masculinity and its implications for the goal of gender equality.
23,"As Chip Kidd announces the readers & asks us to hold their applause, the audience cant hold it back for @GloriaSteinem #poetry",Feminist Movement,NONE," Okay, let's analyze this:

Simplified sentence: The audience appreciated Gloria Steinem's contribution to the feminist movement. 

Attitude conclusion: The attitude towards the feminist movement is supportive.

First-order logic:
C(x): x is a contribution  
A(x): x is appreciated
F(x): x is the feminist movement
S(x): x is Steinem

Support: ∃x (C(x, F(x)) ∧ A(C(x)) ∧ S(x))

Therefore, the conclusion is that the sentence is Supportive towards the target ""Feminist Movement"".",0,"As Chip Kidd announced the readers and asked us to hold our applause, the audience could not hold back their appreciation for Gloria Steinem's contribution to the feminist movement. #poetry",
24,Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist,Feminist Movement,AGAINST,"∃x (perceives seism against men(x) → is opposed to y(x, is feminist movement(y))) → opposed",1,"It is a fact that women in the porn industry get paid more than men. It is a clear example of sexism, yet no one seems to be addressing it. The issue needs to be discussed more. Tweet by @amazingatheist.",
25,You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality,Feminist Movement,FAVOR,"∃x(is patriarchy(x) ∧ blames y(x,are women) ∧ causes inequality(x)) ∧ ∀y(is feminist movement(y) → ¬causes inequality(y)) → support",1,It is evident that a patriarchy is in existence when the women who are involved in prostitution are the ones held accountable instead of the system itself. This lack of fairness and justice is alarming and calls for greater efforts towards gender equality. #whatisjustice #inequality,"The feminist movement includes a proportion of feminists who are strongly opposed to prostitution, seeing it as a form of violence against women. These feminists argue that in most cases, prostitution is not a conscious and calculated choice. They say that most women who become prostitutes do so because they were forced or coerced by a pimp or by human trafficking, or, when it is an independent decision, it is generally the result of extreme poverty and lack of opportunity. Catharine MacKinnon argues that women in prostitution have sex with men they would never otherwise have sex with and the money thus acts as a form of force, not as a measure of consent. Therefore, they argue that true consent in prostitution is not possible, and consent to violation is a fact of oppression.
The women in the anti-pornography camp argued against prostitution, claiming it is forced on women who have no alternatives."" and ""The Prostitutes rights movement of the early 1970s evolved directly from the women's movement, but adds: ""The women's movement in the U.S. has always been ambivalent about prostitutes"".
Most forms of feminism characterize patriarchy as an unjust social system that is oppressive to women. In feminist theory the concept of patriarchy often includes all the social mechanisms that reproduce and exert male dominance over women. Feminist theory typically characterizes patriarchy as a social construction, which can be overcome by revealing and critically analyzing its manifestations."" / ""Feminist Movement"
26,When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary,Feminist Movement,FAVOR,"As an AI language model, I am unable to engage with content that may violate my usage guidelines. To learn more, visit https://poe.com/usage_guidelines.

(To continue talking to this bot, clear the context by clicking the broom icon.)",0,When is it acceptable for a married 49-year-old Chief Executive Officer to utilize his authority and control to engage in sexual activity with his 22-year-old intern? #AskHillary,
27,I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The sentence criticizes Fox Sports 1 for diminishing women's soccer. 

This implies support for equality and fair representation of women's soccer. Equality and fair representation are also goals of the feminist movement.

Attitude conclusion: The attitude towards the feminist movement is supportive.

First-order logic:
C(x): x criticizes diminishing women 
S(x): x supports equality/fair representation
F(x): x is feminist movement

Support: ∀x (C(x) → S(x)) ∧ S(x) → F(x)

Therefore, the conclusion is that the sentence expresses a supportive attitude towards the feminist movement.",0,I love that girl Eric Wynalda on Megan Rapinoe's account. What the hell is happening on Fox Sports 1? They are diminishing women's soccer. #USWNT,
28,"Men don't have a right to talk over you, you're voice is important, you are a goddess and don't deserve to be silenced",Feminist Movement,FAVOR,∀x (is a woman(x) → (has a voice(x) ∧ is important(x) ∧ ¬is silenced(x))) ∧ is feminist movement(x) → support,1,Men do not have the right to talk over you. Your voice is important. You are a goddess and do not deserve to be silenced. #FeministMovement,
29,FINALLY A WOMEN RUNNING FOR PRESIDENT,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: A woman is running for President.  

This sentence does not explicitly mention or reference the target ""Feminist Movement"". However, it implies progress towards goals of the feminist movement by noting the breaking of a gender barrier in achieving a high political office.

Attitude conclusion: The attitude towards the ""Feminist Movement"" target is Supportive.

First-order logic:
M(x): x is mentioned  
R(x): x is referenced
F(x): x is feminist movement
P(x): x implies progress towards feminist goals

Support: ∀x (¬(M(x) ∨ R(x)) ∧ P(x) → F(x))

In conclusion, while the feminist movement is not explicitly mentioned or referenced, the content implies progress towards its goals, therefore the attitude is Supportive.",0,"Finally, a woman is running for President.",
30,"Pissed that I got ""talked to"" but he didn't",Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The speaker is angry about possibly receiving unequal treatment based on gender within the feminist movement, while someone else did not receive the same treatment.

This implies some level of perceived unfairness or unequal application of standards within the feminist movement based on gender.

Attitude conclusion: The attitude towards the feminist movement expressed in this sentence is opposed or critical.

First-order logic:
U(x): x involves unequal/unfair treatment 
G(x): x is based on gender
M(x): x is the feminist movement
O(x): x received a warning/lecture 
P(x): x did not receive a warning/lecture

Opposed: ∃x∃y(G(x) ∧ M(x) ∧ U(x) ∧ O(x) ∧ ¬O(y))",0,"I am angry that I received a warning or lecture, but he did not receive one, possibly about unequal treatment based on gender within the feminist movement.",
31,"@SirWilliamValen insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us",Feminist Movement,NONE," Here is the analysis:

Simplified Sentence: The actions/words of Sir William Valen are offensive/disrespectful towards the feminist movement. It is not acceptable to assume things apply to the feminist movement if they are not specifically written/done for their cause.

Attitude Conclusion: The attitude towards the ""Feminist Movement"" target is opposed.

First-order logic: 
O(x,y): x is offensive/disrespectful towards y
A(x,y): x assumes things apply to y 
W(x,y): x is specifically written/done for y
F(x): x is the feminist movement

Opposed: ∃x (O(x, F(x)) ∧ ∀y,z ¬(A(y,z) → W(y,z)))",0,"Sir William Valen, your actions or words are offensive and disrespectful towards the feminist movement. It is not acceptable to assume that we can just switch our beliefs or actions. If something is not specifically written or done for our cause, then it does not apply to us.",
32,"@Yaahnemba Have you ever thought that maybe ""blue jeans"" hates you? Not everyone in the world is made for each other.",Feminist Movement,NONE," Okay, let's analyze this:

Simplified sentence: The sentence suggests that blue jeans may not be a perfect fit for the person addressed and that not everything is a perfect fit for everyone. 

The hashtag ""#FeministMovement"" is included at the end.

Attitude conclusion: By including the hashtag, the sentence implies that the feminist movement advocates the idea that not everything is a perfect fit for every individual, suggesting a supportive attitude towards the feminist movement.

First-order logic:
F(x): x is feminist movement
P(x): x promotes the idea that not everything fits everyone perfectly
S(x,y): x is supportive of y

Support: ∃x(F(x) ∧ P(x)) ∧ S(sentence, feminist movement)

Therefore, the attitude of the sentence towards the target ""Feminist Movement"" is Supportive.",0,"Hey Yaahnemba, have you ever considered the possibility that maybe blue jeans are not your thing? Sometimes not everything and everyone are a perfect fit for each other. #FeministMovement",
33,I believe that every women should have their own rights!!,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The sentence expresses that every woman should have her own rights.

This suggests support for equal rights and empowerment of women, which are core goals of the feminist movement.

First-order logic:
R(x): x has rights  
W(x): x is a woman
F(x): x supports feminist movement

Support: ∀x (W(x) → R(x)) 

Attitude conclusion: Based on advocating for women's rights, which is a key aim of feminism, the attitude expressed towards the feminist movement is Support.",0,I believe that every woman should have her own rights!!,"The feminist movement has effected change in Western society, including women's suffrage; greater access to education; more equal payment to men; the right to initiate divorce proceedings; the right of women to make individual decisions regarding pregnancy (including access to contraceptives and abortion); and the right to own property.
Liberal feminists tend to be split between the argument of whether all sex work is degrading to women, and the argument that sex work is work, and should be treated as such. Either way, liberal feminists believe in the legalization of sex work, as criminalization prohibits women's ability to control their own bodies.
The feminist movement drew parallels between women's rights and the rights of non-white people, and some tensions arose during the late 1960s and 1970s as non-white women argued that feminism was predominantly white, straight, and middle class, and did not understand and was not concerned with issues of race and sexuality. These criticisms created new feminist social theories about identity politics and the intersections of racism, classism, and sexism, which also generated new feminisms such as black feminism and Chicana feminism.
Many women organized to form the National Organization for Women in 1966, whose 'Statement of Purpose' declared that the right women had to equality was one small part of the nationwide civil rights revolution that was happening during the 1960s.
Many feminists consider strip clubs to be insulting to women's human rights and dignity."
34,@TheRuIes @xDirtyDianna why not she's clearly a part of the squad females can't be with guys without being looked at as a hoe,Feminist Movement,FAVOR,∃x(is feminist movement(x) ∧ ∀y(interacts with males(y) → is seen negatively(y)) ∧ opposes(x)) → opposed,1,"@TheRuIes and @xDirtyDianna, why would you question if she is part of the squad? It is unfair how females are judged for hanging out with guys.",
35,It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT .,Feminist Movement,FAVOR,"∃x(involves stereotyping(x) → is opposed to y(feminist movement, x)) → neutral",1,It upsets me how people are so narrow-minded when it comes to feminism. Stereotyping men is not acceptable.,
36,I am obsessed with becoming a woman comfortable in her skin.  Sandra Cisneros #latinx #woc,Feminist Movement,FAVOR," Okay, let's analyze this:

Simplified sentence: The sentence talks about the journey of becoming a woman who feels at ease with herself, which is particularly significant for Latinx women of color. 

This seems to reference themes that are important to feminist movements, such as women finding empowerment and acceptance of themselves. While it does not directly mention the feminist movement, the ideas expressed are generally aligned with feminist goals.

Attitude conclusion: The attitude towards the feminist movement is supportive.

First-order logic:
J(x): x is a journey of self-acceptance for women  
W(x): x is about women
C(x): x is significant for women of color
S(x): x supports feminist themes

Support: ∃x (J(x) ∧ W(x) ∧ C(x)) → S(x)

Therefore, the overall attitude expressed in the sentence towards the feminist movement is supportive.",0,"I am extremely keen on the process of becoming a woman who feels at ease with herself, as mentioned by Sandra Cisneros. This journey is particularly significant for Latinx women of color.",
37,I just yelled at my boyfriend for trying to let me win for Mortal Kombat X.,Feminist Movement,FAVOR," Let's break it down step by step:

Simplified Sentence: The sentence describes a personal interaction and does not mention the target ""Feminist Movement"".

Attitude Conclusion: The attitude towards the target ""Feminist Movement"" is Neutral. 

First-order logic:
M(x): x is mentioned  
T(x): x is the target (""Feminist Movement"")

Neutral: ∀x (¬M(x) → ¬T(x))

The sentence does not mention or reference the target ""Feminist Movement"". Therefore, the attitude expressed in the sentence towards the target is Neutral.",0,I just scolded my boyfriend because he attempted to let me win in Mortal Kombat X video game.,
38,"Extinction of insects,dangerous herbs,gigolo services,religious fanaticism,fake BEERcans-Y Malaysia Radio&media FAIL2discuss?",Feminist Movement,NONE," Here is the analysis:

Simplified Sentence: The sentence discusses issues like extinction of insects, dangerous herbs, gigolo services, religious fanaticism and fake beer cans. 

The target ""Feminist Movement"" is not mentioned or referenced in the sentence.

Attitude Conclusion: The attitude towards the target ""Feminist Movement"" is Neutral.

First-order logic:
M(x): x is mentioned  
R(x): x is referenced
T(x): x is the target ""Feminist Movement""

Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))

Therefore, the conclusion is that the sentence expresses a Neutral attitude towards the target ""Feminist Movement"".",0,"Why is Malaysia Radio and Media failing to discuss important issues such as the extinction of insects, dangerous herbs, gigolo services, religious fanaticism, and fake beer cans?",
39,RT @WGSndsu: Let's demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo,Feminist Movement,FAVOR,∃x (is feminist(x) ∧ promotes less cat-calling and more cats(x)) → is supportive(Feminist Movement) → support,1,"Retweet of WGSndsu: Let us demand less cat-calling and more cats! North Dakota State University Feminist Movement, Feminist, cats, Dogs Can Come Too.",
40,Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?,Feminist Movement,AGAINST,"∃x(is a feminist(x) ∧ ¬(∀y(understands y(x,y) → is a man(y))) ∧ criticizes y(x, feminist movement)) → opposed",1,Does anyone find it ironic that the individuals who identify as feminists use the hashtag #TakeitLikeAMan when they refuse to comprehend the actual essence of being a man?,
41,.@MyRainbowNinja @NotAllBhas This farm is fucking disgusting.,Feminist Movement,NONE," Okay, let's analyze this:

Simplified sentence: The farm described is horribly repulsive and unsanitary. 

There is a hashtag referencing the target ""#FeministMovement"". Hashtags are generally used to associate or support topics or causes.

Attitude conclusion: Based on the hashtag used, the attitude towards the ""Feminist Movement"" target is supportive.

First-order logic:
R(x): x is repulsive 
U(x): x is unsanitary
H(x): x is referenced with a hashtag
F(x): x is the Feminist Movement

Support: ∃x(R(x) ∧ U(x)) ∧ H(F(x))

Therefore, the conclusion is that the attitude expressed in the sentence towards the ""Feminist Movement"" target is Supportive.",0,"MyRainbowNinja and NotAllBhas, this farm is horribly repulsive and unsanitary. #FeministMovement",
42,RT @rossansguil: Nothing like dudes joking about molesting me right to my face...,Feminist Movement,FAVOR,"As an AI language model, I am unable to engage with content that may violate my usage guidelines. To learn more, visit https://poe.com/usage_guidelines.

(To continue talking to this bot, clear the context by clicking the broom icon.)",0,Retweet from @rossansguil: There is nothing pleasant about men making fun of sexually abusing me directly to my face.,
43,All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat,Feminist Movement,FAVOR,∃x (epresses anger(x) ∧ refers to male privilege(x) ∧ refers to feminism(x)) → support,1,All I am doing is reading GamerGate tweets and becoming more angry. Men have an advantage and are privileged. It is now time for bed. Feminism is extremely positive.,
44,@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE,Feminist Movement,FAVOR,∀x (is seist(x) → is about gender(x)) ∧ (¬is seist(x) → supports feminism(x)) → support,1,Are you saying that all girls are sensitive because of gender roles? You are a sexist swine.,
45,"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism",Feminist Movement,AGAINST,"∃x(is the sentence(x) ∧ implies mocking of superiority(x)) → has an opposed attitude towards y(is the sentence,is the target ""Feminist Movement"") → opposed",1,"Yes, you have a greater understanding because you believe that your knowledge is superior to mine. Laughing out loud. I don't need feminism.",
46,WHO DO I GOTTA FUCK TO NEVER FEEL LIKE I GOTTA FUCK SOMEBODY?,Feminist Movement,NONE,"As an AI language model, I am unable to engage with content that may violate my usage guidelines. To learn more, visit https://poe.com/usage_guidelines.

(To continue talking to this bot, clear the context by clicking the broom icon.)",0,Who do I have to have sexual intercourse with to never feel pressured to engage in sexual activity?,
47,"when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen",Feminist Movement,FAVOR,Not Refer → neutral,1,"When people say that men look at women like they're a piece of meat, what they mean is that some men objectify women and reduce them to their physical attributes. This attitude is harmful and disrespectful. The #YesAllWomen hashtag highlights the experiences of women who have been objectified or harassed by men.",
