ID,Tweet,Target,Stance,Ans1,Ans2,Ans3,FOL
19,@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie,Hillary Clinton,FAVOR,"∀x (¬can beat y(x, Hillary Clinton) ∧ is drunk(x) ∧ should go home(x)) → support","the sentence supports Hillary Clinton(is Chris Christie(x)) ∧ ¬can beat y(is Chris Christie(x), Hillary Clinton) → the sentence supports Hillary Clinton(Hillary Clinton) → support","∀x (cannot beat y(x, is Hillary Clinton) → ¬is neutral(x)) → neutral","∀x (is Chris Christie(x) → (¬can beat y(x, Hillary Clinton) ∧ is drunk(x) ∧ should go home(x))) → Support"
20,"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,"∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is ""Hillary Clinton""(x)) → neutral",Not Refer → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
21,Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,"∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the target (""Hillary Clinton"")(x)) → neutral",∀x (¬(made stupid comments(x) ∧ will blame it on menstrual cycle(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(made stupid comments(x) ∧ will blame it on menstrual cycle(x)) → ¬is Hillary Clinton(x)) → neutral
22,Low key it would be interesting to have a female president.,Hillary Clinton,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∃x (is interesting(x) ∧ is female(x) ∧ is president(x)) ∧ ¬is Clinton(x) → neutral,∀x (is a female president(x) ∧ is interesting(x) → ¬is Hillary Clinton(x)) → neutral,∃x (is interesting(x) ∧ is female(x) ∧ is president(x) ∧ ¬is Hillary Clinton(x)) → neutral
23,"@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq. #LiberalConsequences",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) ∧ is the target(x)) → ¬is criticized(x) → neutral,∀x (¬(is a president(x) ∧ is Hillary Clinton(x)) → ¬(died(x) ∧ is a military personnel(x))) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) ∧ is the target(x) → ¬is criticized(x)) → neutral
24,.@EthanObama I know - it's just going to be a long year!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (epresses frustration(x) ∧ ¬(is mentioned(x) ∨ is referenced(x))) → ¬is Hillary Clinton(x) → neutral,∀x (¬is mentioned(x) → ¬is Hillary Clinton(x) ∧ ¬is associated with the speaker's sentiment(x)) → neutral,∀x (expresses frustration(x) ∧ ¬is mentioned(x)) → ¬is Hillary Clinton(x) → neutral
25,"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,"∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the target ""Hillary Clinton""(x)) → neutral",Not Refer → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
26,Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines? #tcot #p2,Hillary Clinton,AGAINST,∀x ((is suitable to run the country(x) → ¬is president of the Bingo club at Shady Pines(x)) ∧ is opposed(x)) → opposed,∃x (is Hillary Clinton(x) ∧ (¬runs the country(x) ∧ is president of Bingo club(x))) → is opposed(x) → opposed,¬(is Hillary Clinton(x) ∧ is president(x)) → is a bingo club(x) → opposed,∀x (is Hillary Clinton(x) → (¬is suitable to run the country(x) ∧ is president of Bingo club at Shady Pines(x))) → opposed
27,Lol why do so many people around here hate Hillary?,Hillary Clinton,FAVOR,∀x (¬is Hillary Clinton(x)) → neutral,"∃x∃y (is people(x) ∧ is Hillary Clinton(y) ∧ hates y(x,y)) → is opposed to y(x,y) → opposed",∀x (is Hillary Clinton(x) → is hated(x)) → opposed,"∃x (is people(x) ∧ hates(x, Hillary Clinton)) → is opposed to Hillary Clinton"
28,"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (has spent their whole career growing government(x) ∧ keeps the deck stacked(x))) → opposed,∃x (is referred to(x) ∧ is a career(x) ∧ grows government(x) ∧ stacks the deck(x)) ∧ Hillary Clinton → the attitude is opposed to(x) → opposed,∀x (is at the top(x) ∧ has spent their career growing government(x) → is opposed(x)) → opposed,∀x (is Hillary Clinton(x) → (has spent their whole career growing government(x) ∧ keeps the deck stacked(x))) → opposed
29,"Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (is criticized(x) ∧ is libertarian(x)) → ¬is mentioned(is the target(x)) → neutral,∀x (¬(is a political party(x) ∧ is divided(x) ∧ will not stand(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (is criticized(x) ∧ is libertarian(x) → ¬is mentioned(is Hillary Clinton(x))) → neutral
30,@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA,Hillary Clinton,FAVOR,∀x (supports Hillary Clinton's campaign(x) ∧ believes the world needs someone like Hillary Clinton(x)) → support,∃x (is supported(Hillary Clinton) ∧ is a campaign(x) ∧ is a person(Hillary Clinton) ∧ is a woman(Hillary Clinton) ∧ is needed(x)) → support,∀x (is Portuguese(x) ∧ supports Hillary Clinton's campaign(x) ∧ believes Hillary Clinton would be a good leader for the world(x) → has a supportive attitude towards Hillary Clinton(x)) → support,∀x (is Portuguese(x) ∧ supports Hillary Clinton's campaign(x) ∧ believes Hillary Clinton would be a good leader for the world(x) → has a supportive attitude towards Hillary Clinton(x)) → support
31,Hillary Clinton for Ambassador to ISIS.,Hillary Clinton,AGAINST,is opposed(Hillary Clinton) → opposed,"∃x (is appointed as Ambassador(x, is ISIS) ∧ is Hillary Clinton(x)) → opposed",∀x (is a person(x) ∧ is suggested for a position(x) → is Hillary Clinton(x)) → support,∀x (is suggested for a position(x) ∧ is Hillary Clinton(x)) → opposed
32,"So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers",Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is replaced by Jeb Bush(x)) → is opposed(x)) → opposed,∀x (is trying to stop Hillary Clinton(x) → is mocked(x)) ∧ (Jeb Bush → is a loser(x)) ∧ ¬∃y (is Hillary Clinton(y) ∧ y ≠ Hillary Clinton) → support,∀x (is Hillary Clinton(x) → is a loser(x)) → opposed,∀x ((is trying to stop Hillary Clinton(x) → is mocked(x)) ∧ (is replaced by Jeb Bush(x) → is opposed(x))) → Support
33,I'm a woman. Can I be President? @StopHillaryPAC,Hillary Clinton,AGAINST,∀x ((is a woman(x) ∧ can be President(x)) ∧ (mentions the target(x) ∧ is related to the possibility of a woman becoming President(x))) → support,"∃x (is a woman(x) ∧ can be President(x)) ∧ is @StopHillaryPAC(x) ∧ opposes y(x,is Hillary Clinton(x)) → opposed",¬(is a woman(x) ∧ can be President(x)) → ¬is Hillary Clinton(x) → opposed,∀x ((is a woman(x) ∧ can be President(x)) ∧ (mentions the target(x) ∧ is related to the possibility of a woman becoming President(x))) → support
34,This is not her first time at the rodeo! @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough,Hillary Clinton,FAVOR,∀x (¬likes Hillary Clinton(x) ∨ cares about who likes her(x)) ∧ is on a mission(x) → support,"∃x(refers to y(x,""Hillary Clinton"") ∧ (is eperienced(x) ∨ (is on a mission(x) ∧ is tough(x)))) → support",∀x (is Hillary Clinton(x) → (is on a mission(x) ∧ doesn't care about approval(x))) → is supported(x) → support,∀x (is Hillary Clinton(x) → (is on a mission(x) ∧ ¬cares about approval(x) ∧ is tough(x))) → Support
35,@lajouetreine @KarrattiPaul I'm not a Genitalian,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
36,Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet.,Hillary Clinton,FAVOR,∀x ((is a smear(x) ∧ is from the GOP(x)) → is Hillary Clinton(x)) → support,∃x (is a smear(x) ∧ is from the GOP(x) ∧ is about Clinton(x)) ∧ is neutral towards the target(target) → neutral,∀x (is a smear attack(x) ∧ is a member of the GOP(x) → is Hillary Clinton(x) ∧ is supported(x)) → support,∀x ((is a smear(x) ∧ is from the GOP(x)) → is about Hillary Clinton(x)) → support
37,Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly.,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is doing well on the trail(x) ∧ is showing her personal side(x)) → will benefit greatly(x)) → support,is Hillary Clinton(Hillary Clinton) ∧ (is doing well(Hillary Clinton) ∧ is showing personal side(Hillary Clinton) → will benefit(Hillary Clinton)) → support,∀x (is Hillary Clinton(x) → (is performing well(x) ∧ is showing a personal side(x) ∧ will benefit(x))) → support,∀x (is Hillary Clinton(x) → (is doing well(x) ∧ is showing personal side(x) → will benefit(x))) → support
38,Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary,Hillary Clinton,FAVOR,∀x (¬is mentioned(x) → ¬is Hillary Clinton(x)) → neutral,shows support(Hillary Clinton) ∧ could become president(Hillary Clinton) → support,∀x (is Hillary Clinton(x) → is supported(x)) → support,∀x (is mentioned(x) → is Hillary Clinton(x)) → neutral
39,.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) → will be handled every step of the way(x)) ∧ (is Hillary Clinton(x) → is at risk of being unscripted(x))) → opposed,∃x (is a person(x) ∧ will be controlled(x) ∧ will not be unscripted (allowed to speak freely)(x) ∧ is the target Hillary Clinton(x)) → opposed,∀x (is Hillary Clinton(x) → (is handled(x) ∧ is scripted(x))) → neutral,∀x (is Hillary Clinton(x) → (will be handled every step of the way(x) ∧ is at risk of being unscripted(x))) → opposed
40,I just want my dog to stop eating the trash,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x(¬M(x) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (is dog(x) ∧ is eating trash(x) → ¬is Hillary Clinton(x)) → neutral
41,@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → should be left alone to focus on issues(x)) ∧ (is Hillary Clinton(x) → is the net president(x))) → support,"∃x(is the target(x) ∧ ¬is mentioned(x) ∧ is referred to(x)) ∧ has a supportive attitude towards y(sentence, x) → support",∀x (is Hillary Clinton(x) → is supported(x)) → support,∀x ((is Hillary Clinton(x) → should be left alone to focus on issues(x)) ∧ (is Hillary Clinton(x) → is the next president(x))) → support
42,Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!,Hillary Clinton,FAVOR,"∀x ((is a person(x) ∧ is running for President(x)) → has the support of y(x, Jews)) → support",congratulates(Hillary Clinton) ∧ ∃x(has support(x) ∧ are Jews(x) ∧ is the world(x)) → support,∀x (is running for President(x) ∧ has the support of Jews worldwide(x) → is Hillary Clinton(x)) → support,"∀x ((is running for President(x) ∧ has support(x, Jews worldwide)) → is Hillary Clinton(x)) → support"
43,"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.",Hillary Clinton,FAVOR,has more Twitter followers(Hillary Clinton) > has more Twitter followers(x) for all is a Republican candidate(x) → support,"∃x(is Hillary Clinton(x) ∧ ∀y((is Bush(y) ∨ is Rubio(y) ∨ is Paul(y) ∨ is Cruz(y)) → has more followers than y(x,y))) → support",∀x (has more Twitter followers(x) → ¬is a Republican candidate(x) → is supported(x)) → support,∃x (is Hillary Clinton(x) ∧ ∀y((is Republican candidate(y) → has fewer followers(y)) → has more followers(x))) → support
44,#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ ¬releases donors(x)) ∧ deserves disclosure(x) ∧ (is mentioned(x) → (is scandals(x) ∨ is lies(x) ∨ is the Clintons(x)))) → is opposed(x) → opposed,"∃x (is criticized(x) ∧ has not disclosed donors(x) ∧ is implied to be involved in scandals(x) ∧ is implied to be involved in lies(x) ∧ Hillary Clinton) → has an opposed attitude towards y(sentence, Hillary Clinton) → opposed",¬is Hillary Clinton(x) ∧ ¬has released Clinton Foundation donors(x) ∧ deserves disclosure(x) → opposed,∃x (is Hillary Clinton(x) ∧ ¬releases donors(x) ∧ deserves disclosure(x) ∧ (is mentioned(x) → (is scandals(x) ∨ is lies(x) ∨ is the Clintons(x)))) → opposed
45,I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the target(x)) → neutral,∀x (is a time period(x) ∧ is a separation(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is a time period(x) ∧ is a separation(x) → ¬is Hillary Clinton(x)) → neutral
46,RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is fired(x) ∧ is unethical(x) ∧ investigates Watergate(x)) → is Hillary Clinton(x)) → opposed,∃x (is Hillary Clinton(x) ∧ (was fired(x) ∧ is unethical(x)) ∧ investigated Watergate(x)) → opposed,∀x (is Hillary Clinton(x) ∧ was fired(x) ∧ is unethical(x) ∧ investigated Watergate(x) → ¬is Hillary Clinton(x)) → opposed,∃x (is Hillary Clinton(x) ∧ (was fired(x) ∧ is unethical(x) ∧ investigated Watergate(x))) → opposed
47,How can she live with herself? #Benghazi,Hillary Clinton,AGAINST,∃x (lives with themselves(x) ∧ is Hillary Clinton(x)) → is opposed(x) → opposed,∃x (lives with themselves(x) ∧ is related to Benghazi(x)) ∧ is Hillary Clinton(x) → opposed,∀x (is Hillary Clinton(x) → ¬lives with herself(x)) → opposed,∃x (is Hillary Clinton(x) ∧ lives with themselves(x) ∧ related to Benghazi(x)) → opposed
48,Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → is supported(x))) → support,supports marriage equality(x) ∧ ∃y(shows support for Clinton's campaign(y) ∧ is Hillary Clinton(y)) → support,∀x (is Hillary Clinton(x) ∧ is associated with the HRC2016 hashtag(x) ∧ is associated with the vote hashtag(x) ∧ is associated with the marriage equality hashtag(x) → supports marriage equality(x)) → support,∀x (is Hillary Clinton(x) ∧ supports marriage equality(x)) → Support
49,Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (needs to go to a Sheetz gas station after 10 pm(x) ∧ will see the real America(x))) → opposed,∃x (is Clinton(x) ∧ (is out of touch(x) ∨ should go to a gas station(x))) → is opposed(x) → opposed,∀x (is Hillary Clinton(x) → (should visit a Sheetz gas station(x) ∧ is real America(x))) → neutral,∀x (is Hillary Clinton(x) → (should visit a Sheetz gas station after 10 pm(x) ∧ will experience the real America(x))) → opposed
50,Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ 's campaign events are scripted dog & pony shows(x) ∧ 's campaign events are designed to shelter her from vetting(x) ∧ 's campaign events occur before the coronation(x)) → is opposed(x)) → opposed,∃x (is an event(x) ∧ is scripted(x) ∧ is designed to shelter from vetting(x) ∧ is Clinton(x)) → is opposed(is Clinton) → opposed,∀x (is Hillary Clinton(x) ∧ is a campaign event(x) ∧ is scripted(x) ∧ ¬is vetted(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is a campaign event(x) ∧ is scripted(x) ∧ is designed to shelter from vetting(x) → is opposed(x)) → opposed
51,"Yes, do tell US, name one of her accomplishments",Hillary Clinton,AGAINST,∃x (is an accomplishment(x) ∧ Hillary Clinton) → opposed,∃x (has accomplishments(x) ∧ 's accomplishments are named(x)) ∧ is Hillary Clinton(x) → neutral,∀x (is Hillary Clinton(x) → has accomplishments(x)) → support,∃x (is an accomplishment(x) ∧ Hillary Clinton) → opposed
52,"Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,Not Refer → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral
